t,T_sec,H_sec,P_gaz,Flame,V_Fl_1,V_Fl_2,V_Fl_3,V_H2,V_But,Etat
0.00,25.000,90.000,0,0,0,0,0,0,0,0
10.00,25.000,90.000,0,0,0,0,0,0,0,3
20.00,25.000,90.000,0,0,0,0,0,0,0,3
30.00,25.000,90.000,0,0,0,0,0,0,0,3
40.00,25.000,90.000,0,0,0,0,0,0,0,3
50.00,25.000,90.000,0,0,0,0,0,0,0,3
60.00,25.000,90.000,0,0,0,0,0,0,0,3
70.00,25.000,90.000,0,0,0,0,0,0,0,3
80.00,25.000,90.000,0,0,0,0,0,0,0,3
90.00,25.000,90.000,0,0,0,0,0,0,0,3
100.00,25.000,90.000,0,0,0,0,0,0,0,3
110.00,25.000,90.000,0,0,0,0,0,0,0,3
120.00,25.000,90.000,0,0,0,0,0,0,0,3
130.00,25.000,90.000,0,0,0,0,0,0,0,3
130.05,25.007,90.000,5000,0,1,1,1,1,0,3
130.10,25.014,90.000,5000,1,1,1,1,1,0,3
140.00,26.386,90.000,5000,1,1,1,1,1,0,3
150.00,27.768,90.000,5000,1,1,1,1,1,0,3
160.00,29.147,90.000,5000,1,1,1,1,1,0,3
170.00,30.521,90.000,5000,1,1,1,1,1,0,3
180.00,31.892,90.000,5000,1,1,1,1,1,0,3
190.00,33.258,90.000,5000,1,1,1,1,1,0,3
200.00,34.621,90.000,5000,1,1,1,1,1,0,3
210.00,35.980,89.997,5000,1,1,1,1,1,0,3
220.00,37.335,89.984,5000,1,1,1,1,1,0,3
230.00,38.686,89.960,5000,1,1,1,1,1,0,3
240.00,40.034,89.925,5000,1,1,1,1,1,0,3
250.00,41.377,89.880,5000,1,1,1,1,1,0,3
260.00,42.717,89.824,5000,1,1,1,1,1,0,3
270.00,44.053,89.757,5000,1,1,1,1,1,0,3
280.00,45.385,89.680,5000,1,1,1,1,1,0,3
290.00,46.714,89.592,5000,1,1,1,1,1,0,3
300.00,48.039,89.494,5000,1,1,1,1,1,0,3
310.00,49.360,89.386,5000,1,1,1,1,1,0,3
320.00,50.677,89.267,5000,1,1,1,1,1,0,3
330.00,51.990,89.138,5000,1,1,1,1,1,0,3
340.00,53.300,88.999,5000,1,1,1,1,1,0,3
350.00,54.606,88.850,5000,1,1,1,1,1,0,3
360.00,55.909,88.691,5000,1,1,1,1,1,0,3
370.00,57.207,88.523,5000,1,1,1,1,1,0,3
380.00,58.502,88.345,5000,1,1,1,1,1,0,3
390.00,59.794,88.157,5000,1,1,1,1,1,0,3
400.00,61.082,87.959,5000,1,1,1,1,1,0,3
410.00,62.366,87.753,5000,1,1,1,1,1,0,3
420.00,63.646,87.537,5000,1,1,1,1,1,0,3
430.00,64.923,87.312,5000,1,1,1,1,1,0,3
440.00,66.196,87.078,5000,1,1,1,1,1,0,3
450.00,67.466,86.835,5000,1,1,1,1,1,0,3
460.00,68.732,86.583,5000,1,1,1,1,1,0,3
470.00,69.994,86.323,5000,1,1,1,1,1,0,3
480.00,71.253,86.054,5000,1,1,1,1,1,0,3
490.00,72.508,85.777,5000,1,1,1,1,1,0,3
500.00,73.760,85.491,5000,1,1,1,1,1,0,3
510.00,75.008,85.198,5000,1,1,1,1,1,0,3
520.00,76.253,84.897,5000,1,1,1,1,1,0,3
530.00,77.494,84.588,5000,1,1,1,1,1,0,3
540.00,78.732,84.271,5000,1,1,1,1,1,0,3
